LSOA11CD,GridE100_mean,GridN100_mean,Count,Need_Mid,Need_High
E01030253,"652,872.02","287,749.67",42,0,0
E01030254,"654,178.39","292,025.04",23,1,0
E01030255,"653,469.43","292,303.50",14,0,0
E01030256,"654,167.80","291,595.71",35,0,0
E01030257,"653,734.39","291,705.13",23,0,0
E01030258,"654,455.63","292,270.03",35,1,1
E01030259,"651,314.06","297,913.88",49,0,0
E01030260,"649,515.15","297,419.72",47,0,0
E01030261,"654,062.67","293,703.06",33,1,1
E01030262,"654,072.35","294,180.81",26,1,0
E01030263,"653,421.50","293,831.38",32,0,0
E01030264,"654,069.07","293,292.50",28,1,0
E01030265,"654,258.64","293,102.04",28,1,1
E01030266,"652,493.49","294,930.82",39,0,0
E01030267,"652,004.52","293,927.26",31,0,0
E01030268,"651,563.58","293,578.58",26,0,0
E01030269,"651,589.21","293,181.69",29,0,0
E01030270,"652,434.54","293,205.13",39,0,0
E01030271,"652,789.31","293,996.66",32,0,0
E01030272,"653,545.53","290,239.51",43,0,0
E01030273,"652,908.21","290,236.15",39,0,0
E01030274,"653,065.46","290,801.50",24,1,0
E01030275,"653,443.24","291,237.96",25,0,0
E01030276,"653,920.35","290,864.22",23,0,0
E01030277,"654,148.64","294,740.27",22,1,0
E01030278,"653,582.89","294,542.35",37,0,0
E01030279,"653,810.71","294,918.42",24,1,1
E01030280,"652,976.67","294,590.11",45,0,0
E01030281,"653,293.08","295,498.30",53,0,0
E01030282,"650,742.11","276,297.76",110,0,0
E01030283,"649,798.93","277,775.10",58,0,0
E01030284,"650,002.88","277,268.42",52,0,0
E01030285,"634,485.16","283,462.01",143,0,0
E01030286,"642,469.38","287,542.22",116,0,0
E01030287,"652,758.33","291,263.77",30,1,0
E01030288,"652,368.07","291,454.93",42,0,0
E01030289,"652,467.12","292,366.09",33,0,0
E01030290,"652,539.56","292,126.59",27,0,0
E01030291,"652,970.00","291,771.04",27,1,1
E01030292,"643,787.94","289,565.69",35,0,0
E01030293,"646,445.77","289,642.32",44,0,0
E01030294,"644,311.91","289,683.29",35,0,0
E01030295,"647,534.68","283,049.66",121,0,0
E01030296,"516,393.71","163,536.56",41,0,0
E01030297,"515,212.96","163,882.96",51,0,0
E01030298,"515,816.20","163,698.54",41,0,0
E01030299,"515,658.00","163,080.06",34,0,0
E01030300,"510,907.20","160,548.20",30,0,0
E01030301,"511,435.66","160,362.23",35,0,0
E01030302,"510,560.96","159,108.80",92,0,0
